年份,生源地,科类,批次,院校名称,专业名称,专业备注,最低分,最低位次,最高分,平均分
2023,上海,综合,专科批,上海行健职业学院,健康管理与促进类,婴幼儿托育服务与管理,196,4410.0,0,221
2023,上海,综合,专科批,大庆医学高等专科学校,健康管理与促进类,医学营养,197,4385.0,0,197
2023,上海,综合,专科批,天津市职业大学,餐饮类,烹饪工艺与营养（海河园校区）,197,4385.0,0,209
2023,上海,综合,专科批,上海出版印刷高等专科学校,文化服务类,文化产业经营与管理,198,4364.0,0,217
2023,上海,综合,专科批,上海科学技术职业学院,旅游类,旅游管理,198,4364.0,0,213
2023,上海,综合,专科批,上海科学技术职业学院,语言类,应用日语（外语语种为英语、日语）,199,4341.0,0,217
2023,上海,综合,专科批,上海建设管理职业技术学院,测绘地理信息类,测绘地理信息技术（办学点：总校区）,199,4341.0,0,211
2023,上海,综合,专科批,上海中侨职业技术大学,护理类,护理（康复护理方向）,199,4341.0,0,214
2023,上海,综合,专科批,上海出版印刷高等专科学校,体育类,电子竞技运动与管理,199,4341.0,0,213
2023,上海,综合,专科批,上海行健职业学院,旅游类,旅游管理,199,4341.0,0,214
2023,上海,综合,专科批,天津海运职业学院,水上运输类,港口机械与智能控制,201,4289.0,0,201
2023,上海,综合,专科批,上海中侨职业技术大学,自动化类,机电一体化技术,202,4260.0,0,203
2023,上海,综合,专科批,上海中侨职业技术大学,经济贸易类,国际商务,202,4260.0,0,210
2023,上海,综合,专科批,上海科学技术职业学院,自动化类,智能控制技术,202,4260.0,0,219
2023,上海,综合,专科批,上海出版印刷高等专科学校,电子信息类,物联网应用技术,202,4260.0,0,214
2023,上海,综合,专科批,上海中侨职业技术大学,药品与医疗器械类,生物制药技术,203,4229.0,0,207
2023,上海,综合,专科批,上海出版印刷高等专科学校,语言类,商务英语（英语单科成绩不低于60分）（语种:英语）,204,4195.0,0,217
2023,上海,综合,专科批,广州民航职业技术学院,电力技术类,机场电工技术（花都赤妮校区）,204,4195.0,0,204
2023,上海,综合,专科批,江苏建筑职业技术学院,计算机类,移动应用开发,205,4157.0,0,205
2023,上海,综合,专科批,上海中侨职业技术大学,土建施工类,建筑工程技术,205,4157.0,0,214
2023,上海,综合,专科批,山东畜牧兽医职业学院,畜牧业类,动物医学,205,4157.0,0,229
2023,上海,综合,专科批,上海济光职业技术学院,土建施工类,建筑工程技术（宝山校区）,205,4157.0,0,223
2023,上海,综合,专科批,上海科学技术职业学院,电子信息类,物联网应用技术,206,4121.0,0,225
2023,上海,综合,专科批,上海中侨职业技术大学,电子信息类,物联网应用技术,206,4121.0,0,214
